x,y,x_g,y_g,wall_top,wall_bot,wall_left,wall_right,bomb_top,bomb_bot,bomb_left,bomb_right,near_top,near_bot,near_left,near_right,action
16,9,16,2,False,False,False,False,True,False,False,False,False,False,True,False,left
15,9,16,2,True,False,False,False,False,False,True,False,False,True,True,False,down
15,10,16,2,False,False,False,False,False,False,True,False,False,True,True,False,down
16,10,16,2,False,False,False,True,False,True,False,False,False,False,True,False,left
15,10,16,2,False,False,False,False,False,False,True,False,False,True,True,False,down
15,9,16,2,True,False,False,False,False,False,True,False,False,True,True,False,down
16,9,16,2,False,False,False,False,True,False,False,False,False,False,True,False,left
17,9,16,2,False,False,False,False,False,False,False,True,True,False,True,False,left
17,10,16,2,False,False,False,False,False,True,False,False,True,False,True,False,left
17,9,16,2,False,False,False,False,False,False,False,True,True,False,True,False,left
18,9,16,2,False,False,True,False,False,False,False,True,True,False,True,False,up
19,9,16,2,False,False,False,False,False,False,False,False,True,False,True,False,left
19,9,16,2,False,False,False,False,False,False,False,False,True,False,True,False,left
19,8,16,2,True,False,False,False,False,False,False,False,True,False,True,False,left
19,9,16,2,False,False,False,False,False,False,False,False,True,False,True,False,left
19,8,16,2,True,False,False,False,False,False,False,False,True,False,True,False,left
19,7,16,2,False,False,False,False,False,False,False,False,True,False,True,False,up
19,6,16,2,False,False,True,False,False,False,False,False,True,False,True,False,up
19,5,16,2,True,False,False,False,False,False,False,False,True,False,True,False,left
19,6,16,2,False,False,True,False,False,False,False,False,True,False,True,False,up
18,6,16,2,False,False,True,False,False,False,False,False,True,False,True,False,up
19,6,16,2,False,False,True,False,False,False,False,False,True,False,True,False,up
18,6,16,2,False,False,True,False,False,False,False,False,True,False,True,False,up
18,5,16,2,False,True,False,False,False,False,False,False,True,False,True,False,up
18,6,16,2,False,False,True,False,False,False,False,False,True,False,True,False,up
19,6,16,2,False,False,True,False,False,False,False,False,True,False,True,False,up
19,5,16,2,True,False,False,False,False,False,False,False,True,False,True,False,left
19,5,16,2,True,False,False,False,False,False,False,False,True,False,True,False,left
19,4,16,2,False,False,False,True,False,False,False,False,True,False,True,False,up
18,4,16,2,False,False,False,True,False,False,True,False,True,False,True,False,up
17,4,16,2,False,False,False,False,False,False,False,False,True,False,True,False,up
16,4,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
16,5,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
15,5,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
16,5,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
15,5,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
14,5,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
14,6,16,2,False,False,False,True,False,False,False,False,False,True,True,False,down
14,7,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
13,7,16,2,False,True,False,False,False,False,False,False,False,True,True,False,left
13,6,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
12,6,16,2,False,False,False,False,True,False,False,False,False,True,True,False,down
11,6,16,2,False,False,False,False,False,False,False,True,False,True,True,False,down
12,6,16,2,False,False,False,False,True,False,False,False,False,True,True,False,down
12,5,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
13,5,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
12,5,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
13,5,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
12,5,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
12,6,16,2,False,False,False,False,True,False,False,False,False,True,True,False,down
11,6,16,2,False,False,False,False,False,False,False,True,False,True,True,False,down
11,7,16,2,False,False,False,False,False,False,True,False,False,True,True,False,down
11,6,16,2,False,False,False,False,False,False,False,True,False,True,True,False,down
12,6,16,2,False,False,False,False,True,False,False,False,False,True,True,False,down
11,6,16,2,False,False,False,False,False,False,False,True,False,True,True,False,down
12,6,16,2,False,False,False,False,True,False,False,False,False,True,True,False,down
13,6,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
13,7,16,2,False,True,False,False,False,False,False,False,False,True,True,False,left
14,7,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
15,7,16,2,True,False,False,False,False,False,False,True,False,True,True,False,left
15,6,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
16,6,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
16,7,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
16,6,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
16,5,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
16,4,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
17,4,16,2,False,False,False,False,False,False,False,False,True,False,True,False,up
17,5,16,2,False,True,False,False,False,False,False,False,True,False,True,False,left
18,5,16,2,False,True,False,False,False,False,False,False,True,False,True,False,up
18,4,16,2,False,False,False,True,False,False,True,False,True,False,True,False,up
